DATE,IPG2211A2N
6/1/1993,65.5911
7/1/1993,71.6111
8/1/1993,70.1311
9/1/1993,66.2811
10/1/1993,62.0511
11/1/1993,64.9411
12/1/1993,76.5011
1/1/1994,80.9511
2/1/1994,74.3211
3/1/1994,68.3311
4/1/1994,63.1211
5/1/1994,61.2211
6/1/1994,65.9211
7/1/1994,71.9511
8/1/1994,70.4611
9/1/1994,66.6011
10/1/1994,62.3611
11/1/1994,65.2711
12/1/1994,76.8311
1/1/1995,81.2911
2/1/1995,74.6411
3/1/1995,68.6411
4/1/1995,63.4311
5/1/1995,61.5211
6/1/1995,66.2311
7/1/1995,72.2711
8/1/1995,70.7711
9/1/1995,66.9011
10/1/1995,62.6511
11/1/1995,65.5811
12/1/1995,77.1411
1/1/1996,81.6111
2/1/1996,74.9411
3/1/1996,68.9311
4/1/1996,63.7211
5/1/1996,61.8011
6/1/1996,66.5211
7/1/1996,72.5711
8/1/1996,71.0611
9/1/1996,67.1811
10/1/1996,62.9211
11/1/1996,65.8711
12/1/1996,77.4311
1/1/1997,81.9111
2/1/1997,75.2211
3/1/1997,69.2011
4/1/1997,63.9911
5/1/1997,62.0611
6/1/1997,66.7911
7/1/1997,72.8511
8/1/1997,71.3311
9/1/1997,67.4411
10/1/1997,63.1711
11/1/1997,66.1411
12/1/1997,77.7011
1/1/1998,82.1911
2/1/1998,75.4811
3/1/1998,69.4511
4/1/1998,64.2411
5/1/1998,62.3011
6/1/1998,67.0411
7/1/1998,73.1111
8/1/1998,71.5811
9/1/1998,67.6811
10/1/1998,63.4011
11/1/1998,66.3911
12/1/1998,77.9511
1/1/1999,82.4511
2/1/1999,75.7211
3/1/1999,69.6811
4/1/1999,64.4711
5/1/1999,62.5211
6/1/1999,67.2711
7/1/1999,73.3511
8/1/1999,71.8111
9/1/1999,67.9011
10/1/1999,63.6111
11/1/1999,66.6211
12/1/1999,78.1811
1/1/2000,82.6911
2/1/2000,75.9411
3/1/2000,69.8911
4/1/2000,64.6811
5/1/2000,62.7211
6/1/2000,67.4811
7/1/2000,73.5711
8/1/2000,72.0211
9/1/2000,68.1011
10/1/2000,63.8011
11/1/2000,66.8311
12/1/2000,78.3911
1/1/2001,82.9111
2/1/2001,76.1411
3/1/2001,70.0811
4/1/2001,64.8711
5/1/2001,62.9011
6/1/2001,67.6711
7/1/2001,73.7711
8/1/2001,72.2111
9/1/2001,68.2811
10/1/2001,63.9711
11/1/2001,67.0211
12/1/2001,78.5811
1/1/2002,83.1111
2/1/2002,76.3211
3/1/2002,70.2511
4/1/2002,65.0411
5/1/2002,63.0611
6/1/2002,67.8411
7/1/2002,73.9511
8/1/2002,72.3811
9/1/2002,68.4411
10/1/2002,64.1211
11/1/2002,67.1911
12/1/2002,78.7511
1/1/2003,83.2911
2/1/2003,76.4811
3/1/2003,70.4011
4/1/2003,65.1911
5/1/2003,63.2011
6/1/2003,67.9911
7/1/2003,74.1111
8/1/2003,72.5311
9/1/2003,68.5811
10/1/2003,64.2511
11/1/2003,67.3411
12/1/2003,78.9011
1/1/2004,83.4511
2/1/2004,76.6211
3/1/2004,70.5311
4/1/2004,65.3211
5/1/2004,63.3211
6/1/2004,68.1211
7/1/2004,74.2511
8/1/2004,72.6611
9/1/2004,68.7011
10/1/2004,64.3611
11/1/2004,67.4711
12/1/2004,79.0311
1/1/2005,83.5911
2/1/2005,76.7411
3/1/2005,70.6411
4/1/2005,65.4311
5/1/2005,63.4211
6/1/2005,68.2311
7/1/2005,74.3711
8/1/2005,72.7711
9/1/2005,68.8011
10/1/2005,64.4511
11/1/2005,67.5811
12/1/2005,79.1411
1/1/2006,83.7111
2/1/2006,76.8411
3/1/2006,70.7311
4/1/2006,65.5211
5/1/2006,63.5011
6/1/2006,68.3211
7/1/2006,74.4711
8/1/2006,72.8611
9/1/2006,68.8811
10/1/2006,64.5211
11/1/2006,67.6711
12/1/2006,79.2311
1/1/2007,83.8111
2/1/2007,76.9211
3/1/2007,70.8011
4/1/2007,65.5911
5/1/2007,63.5611
6/1/2007,68.3911
7/1/2007,74.5511
8/1/2007,72.9311
9/1/2007,68.9411
10/1/2007,64.5711
11/1/2007,67.7411
12/1/2007,79.3011
1/1/2008,83.8911
2/1/2008,76.9811
3/1/2008,70.8511
4/1/2008,65.6411
5/1/2008,63.6011
6/1/2008,68.4411
7/1/2008,74.6111
8/1/2008,72.9811
9/1/2008,68.9811
10/1/2008,64.6011
11/1/2008,67.7911
12/1/2008,79.3511
1/1/2009,83.9511
2/1/2009,77.0211
3/1/2009,70.8811
4/1/2009,65.6711
5/1/2009,63.6211
6/1/2009,68.4711
7/1/2009,74.6511
8/1/2009,73.0111
9/1/2009,69.0011
10/1/2009,64.6111
11/1/2009,67.8211
12/1/2009,79.3811
1/1/2010,83.9911
2/1/2010,77.0411
3/1/2010,70.8911
4/1/2010,65.6811
5/1/2010,63.6211
6/1/2010,68.4811
7/1/2010,74.6711
8/1/2010,73.0211
9/1/2010,69.0011
10/1/2010,64.6011
11/1/2010,67.8311
12/1/2010,79.3911
1/1/2011,84.0111
2/1/2011,77.0411
3/1/2011,70.8811
4/1/2011,65.6711
5/1/2011,63.6011
6/1/2011,68.4711
7/1/2011,74.6711
8/1/2011,73.0111
9/1/2011,68.9811
10/1/2011,64.5711
11/1/2011,67.8211
12/1/2011,79.3811
1/1/2012,84.0111
2/1/2012,77.0211
3/1/2012,70.8511
4/1/2012,65.6411
5/1/2012,63.5611
6/1/2012,68.4411
7/1/2012,74.6511
8/1/2012,72.9811
9/1/2012,68.9411
10/1/2012,64.5211
11/1/2012,67.7911
12/1/2012,79.3511
1/1/2013,83.9911
2/1/2013,76.9811
3/1/2013,70.8011
4/1/2013,65.5911
5/1/2013,63.5011
6/1/2013,68.3911
7/1/2013,74.6111
8/1/2013,72.9311
9/1/2013,68.8811
10/1/2013,64.4511
11/1/2013,67.7411
12/1/2013,79.3011
1/1/2014,83.9511
2/1/2014,76.9211
3/1/2014,70.7311
4/1/2014,65.5211
5/1/2014,63.4211
6/1/2014,68.3211
7/1/2014,74.5511
8/1/2014,72.8611
9/1/2014,68.8011
10/1/2014,64.3611
11/1/2014,67.6711
12/1/2014,79.2311
1/1/2015,83.8911
2/1/2015,76.8411
3/1/2015,70.6411
4/1/2015,65.4311
5/1/2015,63.3211
6/1/2015,68.2311
7/1/2015,74.4711
8/1/2015,72.7711
9/1/2015,68.7011
10/1/2015,64.2511
11/1/2015,67.5811
12/1/2015,79.1411
1/1/2016,83.8111
2/1/2016,76.7411
3/1/2016,70.5311
4/1/2016,65.3211
5/1/2016,63.2011
6/1/2016,68.1211
7/1/2016,74.3711
8/1/2016,72.6611
9/1/2016,68.5811
10/1/2016,64.1211
11/1/2016,67.4711
12/1/2016,79.0311
1/1/2017,83.7111
2/1/2017,76.6211
3/1/2017,70.4011
4/1/2017,65.1911
5/1/2017,63.0611
6/1/2017,67.9911
7/1/2017,74.2511
8/1/2017,72.5311
9/1/2017,68.4411
10/1/2017,63.9711
11/1/2017,67.3411
12/1/2017,78.9011
1/1/2018,129.4048
